file name	variable name	current value	ida value
WorldServer\Entities\AutoMineMachineMng.cpp	s_szOreKind_160	<multiline-init>	0x140970BC8 char_ptr_array[5] [0x1407C59A0:"ioblu04", 0x1407C59A8:"iored04", 0x1407C59B0:"ioyel04", 0x1407C59B8:"iogre04", 0x1407C59C0:"iobla04"]
WorldServer\Entities\AutoMineMachineMng.cpp	s_tmLocal	{}	0x184A6F5D8 bytes[16] FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
WorldServer\Entities\AutoMineMachineMng.h	m_pInstance	<decl-only>	<ambiguous-name:6>
WorldServer\Entities\AutominePersonalMgr.cpp	s_instance	<decl-only>	<not-found>
WorldServer\Entities\BossSchedule.cpp	BossSchedule::ms_KeyPair	{"MOBCODE", "LTTM", "LIVE"}	0x140973108 char_ptr_array[3] [0x1408369E8:"MOBCODE", 0x1408369F0:"LTTM", 0x1408369F8:"LIVE"]
WorldServer\Entities\CActionPointSystemMgr.cpp	s_instance	<decl-only>	<not-found>
WorldServer\Entities\CandidateMgr.cpp	s_instance	<decl-only>	<not-found>
WorldServer\Entities\CAnimus.cpp	kFiles	<multiline-init>	<not-found>
WorldServer\Entities\CAnimus.cpp	s_animusObjectName	{}	<not-found>
WorldServer\Entities\CAnimus.h	MAX_EXP	<decl-only>	0x141344C80 bytes[64] FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
WorldServer\Entities\CAnimus.h	s_nLiveNum	<decl-only>	<ambiguous-name:11>
WorldServer\Entities\CAnimus.h	s_tblParameter	<decl-only>	0x141344CC0 bytes[1408] FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF ...
WorldServer\Entities\CashItemRemoteStore.h	_phmapTbl	<decl-only>	<ambiguous-name:2>
WorldServer\Entities\CashItemRemoteStore.h	_pkInstance	<decl-only>	<ambiguous-name:10>
WorldServer\Entities\CAsyncLogger.cpp	s_instance	<decl-only>	<not-found>
WorldServer\Entities\CAsyncLogger.h	ALT_APEX_SYSTEM_LOG	::ALT_APEX_SYSTEM_LOG	<not-found>
WorldServer\Entities\CAsyncLogger.h	ALT_ASYNC_LOGGER_SYSTEM_LOG	::ALT_ASYNC_LOGGER_SYSTEM_LOG	<not-found>
WorldServer\Entities\CAsyncLogger.h	ALT_BUY_CASH_ITEM_LOG	::ALT_BUY_CASH_ITEM_LOG	<not-found>
WorldServer\Entities\CAsyncLogger.h	ALT_CLASSREFINE_SERVICE_LOG	::ALT_CLASSREFINE_SERVICE_LOG	<not-found>
WorldServer\Entities\CAsyncLogger.h	ALT_FIREGUARD_DETECT_LOG	::ALT_FIREGUARD_DETECT_LOG	<not-found>
WorldServer\Entities\CAsyncLogger.h	ALT_GETEVENTCOUPON_LOG	::ALT_GETEVENTCOUPON_LOG	<not-found>
WorldServer\Entities\CAsyncLogger.h	ALT_GETGOLDBAR_LOG	::ALT_GETGOLDBAR_LOG	<not-found>
WorldServer\Entities\CAsyncLogger.h	ALT_HACKSHIELD_SYSTEM_LOG	::ALT_HACKSHIELD_SYSTEM_LOG	<not-found>
WorldServer\Entities\CAsyncLogger.h	ALT_HONOR_GUILD_LOG	::ALT_HONOR_GUILD_LOG	<not-found>
WorldServer\Entities\CAsyncLogger.h	ALT_MAX	::ALT_MAX	<not-found>
WorldServer\Entities\CAsyncLogger.h	ALT_NONE	::ALT_NONE	<not-found>
WorldServer\Entities\CAsyncLogger.h	ALT_PERFORMANCE_CASH_DQS	::ALT_PERFORMANCE_CASH_DQS	<not-found>
WorldServer\Entities\CAsyncLogger.h	ALT_PERFORMANCE_COUNTER_SYSTEM	::ALT_PERFORMANCE_COUNTER_SYSTEM	<not-found>
WorldServer\Entities\CAsyncLogger.h	ALT_PERFORMANCE_LOG_DQS	::ALT_PERFORMANCE_LOG_DQS	<not-found>
WorldServer\Entities\CAsyncLogger.h	ALT_PERFORMANCE_MAIN_DQS	::ALT_PERFORMANCE_MAIN_DQS	<not-found>
WorldServer\Entities\CAsyncLogger.h	ALT_PERFORMANCE_MAIN_LOOP	::ALT_PERFORMANCE_MAIN_LOOP	<not-found>
WorldServer\Entities\CAsyncLogger.h	ALT_PERFORMANCE_NETWORK_DQS	::ALT_PERFORMANCE_NETWORK_DQS	<not-found>
WorldServer\Entities\CAsyncLogger.h	m_bProcThread	<decl-only>	0x184A6FDF0 bytes[1] FF
WorldServer\Entities\CAttack.h	s_DefParam	<decl-only>	0x141372B50 bytes[120] FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF ...
WorldServer\Entities\CAttack.h	s_pSkillData	<decl-only>	<ambiguous-name:2>
WorldServer\Entities\CBillingNULL.h	ms_NULL	<decl-only>	<ambiguous-name:3>
WorldServer\Entities\CBossMonsterScheduleSystem.h	m_pInstance	<decl-only>	<ambiguous-name:6>
WorldServer\Entities\CBsp.cpp	a4	<multiline-init>	<not-found>
WorldServer\Entities\CCashDbWorkerNULL.h	ms_NULL	<decl-only>	<ambiguous-name:3>
WorldServer\Entities\CCharacter.h	m_nInitCount	<decl-only>	0x141372DD0 bytes[4] FF FF FF FF
WorldServer\Entities\CChatStealSystem.h	ms_pInstance	<decl-only>	<ambiguous-name:4>
WorldServer\Entities\CCheckSumBaseConverter.cpp	CCheckSumBaseConverter::ms_dwKeys	<multiline-init>	0x140970610 bytes[240] AC 80 07 00 8D 4B 0D 00 C0 21 08 00 9D DD 00 00 97 10 05 00 81 44 0A 00 EF 21 0E 00 01 EC 02 00 7E 36 08 00 CD A2 05 00 EB 7B 03 00 6C 43 0D 00 90 C9 0D 00 50 8E 01 00 3C DE 00 00 0D 30 03 00 ...
WorldServer\Entities\CCheckSumBaseConverter.cpp	CCheckSumBaseConverter::ms_i64Keys	<multiline-init>	0x140970700 bytes[640] 24 15 06 00 00 00 00 00 E8 BD 00 00 00 00 00 00 5B 45 00 00 00 00 00 00 96 AC 00 00 00 00 00 00 97 A9 18 00 00 00 00 00 0D 76 8E 02 00 00 00 00 F6 04 1A 00 00 00 00 00 B2 8D 02 00 00 00 00 00 ...
WorldServer\Entities\CCheckSumBaseConverter.h	ms_dwKeys	<decl-only>	0x140970610 bytes[240] AC 80 07 00 8D 4B 0D 00 C0 21 08 00 9D DD 00 00 97 10 05 00 81 44 0A 00 EF 21 0E 00 01 EC 02 00 7E 36 08 00 CD A2 05 00 EB 7B 03 00 6C 43 0D 00 90 C9 0D 00 50 8E 01 00 3C DE 00 00 0D 30 03 00 ...
WorldServer\Entities\CCheckSumBaseConverter.h	ms_i64Keys	<decl-only>	0x140970700 bytes[640] 24 15 06 00 00 00 00 00 E8 BD 00 00 00 00 00 00 5B 45 00 00 00 00 00 00 96 AC 00 00 00 00 00 00 97 A9 18 00 00 00 00 00 0D 76 8E 02 00 00 00 00 F6 04 1A 00 00 00 00 00 B2 8D 02 00 00 00 00 00 ...
WorldServer\Entities\CChiNetworkEX.h	ms_pInstance	<decl-only>	<ambiguous-name:4>
WorldServer\Entities\CDarkHole.h	s_dwSerialCounter	<decl-only>	<ambiguous-name:3>
WorldServer\Entities\CDarkHole.h	s_nLiveNum	<decl-only>	<ambiguous-name:11>
WorldServer\Entities\CDarkHoleChannel.h	s_dwChannelSerialCounter	<decl-only>	0x183F1C1B0 bytes[4] FF FF FF FF
WorldServer\Entities\CDarkHoleDungeonQuest.cpp	kDarkHoleQuestDefaultValue	"default"	<not-found>
WorldServer\Entities\CDarkHoleDungeonQuest.cpp	kDarkHoleQuestIndexIni	".\\Quest\\Index.ini"	<not-found>
WorldServer\Entities\CDarkHoleDungeonQuest.cpp	kDarkHoleQuestMatchSection	"MATCH"	<not-found>
WorldServer\Entities\CDarkHoleDungeonQuest.cpp	kDarkHoleQuestNoMatch	"X"	<not-found>
WorldServer\Entities\CDarkHoleDungeonQuest.cpp	kDarkHoleQuestPathFmt	".\\Quest\\%s.txt"	<not-found>
WorldServer\Entities\CDarkHoleDungeonQuestSetup.cpp	_S1_1	0	<not-found>
WorldServer\Entities\CDarkHoleDungeonQuestSetup.cpp	kDHConditionStart	"*"	<not-found>
WorldServer\Entities\CDarkHoleDungeonQuestSetup.cpp	kDHJobSectionStart	"#"	<not-found>
WorldServer\Entities\CDarkHoleDungeonQuestSetup.cpp	kDHMissionSectionStart	"##"	<not-found>
WorldServer\Entities\CDarkHoleDungeonQuestSetup.cpp	kDHQuestSectionStart	"###"	<not-found>
WorldServer\Entities\CDarkHoleDungeonQuestSetup.cpp	nEOFLen	0	0x1849814B0 bytes[4] FF FF FF FF
WorldServer\Entities\CDarkHoleDungeonQuestSetup.cpp	szEOF	"EOF"	0x14096F6B8 char_ptr [0x14079F280:"[END_OF_FILE]"]
WorldServer\Entities\CDummyPosTable.cpp	C_HEROES_DUMMY_NAME	{"sd030f1", "sd040f1", "sd050f1"}	0x14096D3D0 char_ptr_array[3] [0x140746388:"sd030f1", 0x140746390:"sd040f1", 0x140746398:"sd050f1"]
WorldServer\Entities\CDummyPosTable.h	ms_pHeroes_Dummy	<decl-only>	0x141470700 bytes[24] FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
WorldServer\Entities\CExchangeEvent.cpp	s_instance	<decl-only>	<not-found>
WorldServer\Entities\CGameObject.h	s_bRecordSet	<decl-only>	0x184A71F70 bytes[1] FF
WorldServer\Entities\CGameObject.h	s_nTotalObjectNum	<decl-only>	0x1413C62D8 bytes[4] FF FF FF FF
WorldServer\Entities\CGameObject.h	s_pSelectObject	<decl-only>	0x1413C62D0 bytes[8] FF FF FF FF FF FF FF FF
WorldServer\Entities\CGameObject.h	s_pTotalObject	<decl-only>	0x141372E40 bytes[341136] FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF ...
WorldServer\Entities\CGameObject.h	s_wRecord	<decl-only>	0x184A717A0 bytes[2000] FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF ...
WorldServer\Entities\CGoldenBoxItemMgr.cpp	s_instance	<decl-only>	<not-found>
WorldServer\Entities\CGravityStone.h	ms_dwSerialCnt	<decl-only>	<ambiguous-name:4>
WorldServer\Entities\CGuardTower.cpp	objectName	<decl-only>	<not-found>
WorldServer\Entities\CGuardTower.h	s_dwOldTick_CheckTemp	<decl-only>	0x141345428 bytes[4] FF FF FF FF
WorldServer\Entities\CGuardTower.h	s_dwSerialCnt	<decl-only>	<ambiguous-name:8>
WorldServer\Entities\CGuardTower.h	s_nLiveNum	<decl-only>	<ambiguous-name:11>
WorldServer\Entities\CGuardTower.h	s_Temp	<decl-only>	0x141345430 bytes[101280] FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF ...
WorldServer\Entities\CGuild.cpp	kUnknownGuildEmblemName	"<unknown>"	<not-found>
WorldServer\Entities\CGuild.h	s_GuildList	<decl-only>	0x183D93EB0 bytes[40] FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
WorldServer\Entities\CGuild.h	s_MgrHistory	<decl-only>	0x183D93F10 bytes[1094344] FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF ...
WorldServer\Entities\CGuildBattleController.cpp	s_instance	<decl-only>	<not-found>
WorldServer\Entities\CGuildMasterEffect.cpp	s_instance	<decl-only>	<not-found>
WorldServer\Entities\CGuildRoomInfo.cpp	CGuildRoomInfo::operator	(const CGuildRoomInfo &other)	<not-found>
WorldServer\Entities\CGuildRoomInfo.h	sm_neutal_map	<decl-only>	0x184A6F638 bytes[24] FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
WorldServer\Entities\CGuildRoomInfo.h	sm_neutral_hq_dummy	<decl-only>	0x184A6F620 bytes[24] FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
WorldServer\Entities\CGuildRoomInfo.h	sm_RoomInfo	<decl-only>	0x184A6F650 bytes[24] FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
WorldServer\Entities\CGuildRoomSystem.cpp	s_instance	<decl-only>	<not-found>
WorldServer\Entities\CheatCommands.cpp	aA_44	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	aA_45	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	aA_46	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	aA_47	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	aA_48	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	aA_49	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	aA_50	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	aAi_8	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	aAo_6	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	aAo_7	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	aAua_0	"<unknown>"	0x1407A40C8 string "Å°ÆÛ Ä"
WorldServer\Entities\CheatCommands.cpp	aCheatHelpSynta_0	"<unknown>"	0x1407AEE40 string "Cheat Help : Syntax = timeset "
WorldServer\Entities\CheatCommands.cpp	aCheatHelpSynta_1	"<unknown>"	0x1407AEEA0 string "Cheat Help : Syntax = tlinfoset ÇÇ"
WorldServer\Entities\CheatCommands.cpp	aCheatHelpSynta_2	"<unknown>"	0x1407AF0A8 string "Cheat Help : Syntax = %actpset ÇàÀ"
WorldServer\Entities\CheatCommands.cpp	aCheatHelpSynta_3	"<unknown>"	0x1407AF150 string "Cheat Help : Syntax = %eventset "
WorldServer\Entities\CheatCommands.cpp	aCoacCodeDBoxAc	"<unknown>"	0x1407AF1D0 string "ÇöÀç [Code_%d Box] ÀÇ ÀÜ"
WorldServer\Entities\CheatCommands.cpp	aCoacE	"<unknown>"	0x1407AF120 string "ÇöÀç È"
WorldServer\Entities\CheatCommands.cpp	aCoacE_0	"<unknown>"	0x1407AF190 string "ÇöÀç È"
WorldServer\Entities\CheatCommands.cpp	aE_2	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	aOne_3	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	byte_1407AE5D0	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	byte_1407AE5E8	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	byte_1407AE5F8	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	byte_1407AE600	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	byte_1407AE608	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	byte_1407AE660	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	byte_1407AE680	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	byte_1407AE6E0	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	byte_1407AE6F0	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	byte_1407AE700	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	byte_1407AE980	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	byte_1407AE998	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	byte_1407AE9A0	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	byte_1407AE9B0	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	byte_1407AEA8C	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	byte_1407AEA9C	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	byte_1407AF0F8	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	byte_1407AF104	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	byte_1407AF110	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	EqSukList	<multiline-init>	0x14096FEA0 bytes[64] 30 E5 7A 40 01 00 00 00 00 00 00 00 00 00 00 00 2C E5 7A 40 01 00 00 00 00 00 00 00 01 00 00 00 28 E5 7A 40 01 00 00 00 01 00 00 00 00 00 00 00 24 E5 7A 40 01 00 00 00 02 00 00 00 00 00 00 00
WorldServer\Entities\CheatCommands.cpp	FLOAT_100_0	100.0f	<not-found>
WorldServer\Entities\CheatCommands.cpp	kCheatWordCount	6	<not-found>
WorldServer\Entities\CheatCommands.cpp	kCheatWordSize	32	<not-found>
WorldServer\Entities\CheatCommands.cpp	kProcessorNames	<multiline-init>	<not-found>
WorldServer\Entities\CheatCommands.cpp	unk_1407AE840	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	unk_1407AE858	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	unk_1407AE868	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	unk_1407AE878	"<unknown>"	<not-found>
WorldServer\Entities\CheatCommands.cpp	unk_1407AE888	"<unknown>"	<not-found>
WorldServer\Entities\CHolyKeeper.h	s_dwSerialCnt	<decl-only>	<ambiguous-name:8>
WorldServer\Entities\CHolyKeeper.h	s_nLiveNum	<decl-only>	<ambiguous-name:11>
WorldServer\Entities\CHolyStone.h	s_dwSerialCnt	<decl-only>	<ambiguous-name:8>
WorldServer\Entities\CHolyStone.h	s_nLiveNum	<decl-only>	<ambiguous-name:11>
WorldServer\Entities\CHolyStoneSystemDataMgr.cpp	c_TempPair	<multiline-init>	0x14096FBC0 char_ptr_array[7] [0x1407A7138:"HSS_SCENE_CHANGE_TERM", 0x1407A7150:"HSS_SCENE_BATTLE_TERM", 0x1407A7168:"HSS_SCENE_ATTACKABLE_KEEPER_TERM", 0x1407A7190:"HSS_SCENE_DESATTACKABLE_KEEPER_TERM", 0x1407A71B8:"HSS_SCENE_CHAOS_KEEPER_TERM", 0x1407A71D8:"HSS_SCENE_BASE_MINIE_TERM", 0x1407A71F8:"HSS_SCENE_TOUCH_DOWN_ADD_TERM"]
WorldServer\Entities\CHonorGuild.cpp	s_instance	<decl-only>	<not-found>
WorldServer\Entities\CItemBox.h	s_dwSerialCounter	<decl-only>	<ambiguous-name:3>
WorldServer\Entities\CItemBox.h	s_nLiveNum	<decl-only>	<ambiguous-name:11>
WorldServer\Entities\CItemStoreManager.cpp	instance	<decl-only>	<not-found>
WorldServer\Entities\CLevel.cpp	a4	<decl-only>	<not-found>
WorldServer\Entities\CLevel.cpp	a5	<decl-only>	<not-found>
WorldServer\Entities\CLogTypeDBTaskManager.h	ms_Instance	<decl-only>	<ambiguous-name:41>
WorldServer\Entities\CLuaCommandEx.cpp	CLuaCommandEx::_State::operator	=(const _State &rhs) const	<not-found>
WorldServer\Entities\CLuaCommandEx.h	ms_cEmpty	<decl-only>	<ambiguous-name:4>
WorldServer\Entities\CLuaEventMgr.h	ms_Instance	<decl-only>	<ambiguous-name:41>
WorldServer\Entities\CLuaEventNode.cpp	CLuaEventNode::_State::operator	=(const _State &rhs) const	<not-found>
WorldServer\Entities\CLuaEventNode.h	ms_cEmpty	<decl-only>	<ambiguous-name:4>
WorldServer\Entities\CLuaLootingMgr.cpp	CLuaLooting_Novus_Item::_State::operator	=(const _State &rhs) const	<not-found>
WorldServer\Entities\CLuaLootingMgr.h	ms_cEmpty	<decl-only>	<ambiguous-name:4>
WorldServer\Entities\CLuaLootingMgr.h	ms_Instance	<decl-only>	<ambiguous-name:41>
WorldServer\Entities\CLuaScript.cpp	CLuaScript::_State::operator	=(const _State &rhs) const	<not-found>
WorldServer\Entities\CLuaScript.h	ms_cEmpty	<decl-only>	<ambiguous-name:4>
WorldServer\Entities\CLuaScriptMgr.h	ms_Instance	<decl-only>	<ambiguous-name:41>
WorldServer\Entities\CMainThread.cpp	s_instance	<decl-only>	<not-found>
WorldServer\Entities\CMainThread.h	m_dwCnt	<decl-only>	0x184A71550 bytes[4] FF FF FF FF
WorldServer\Entities\CMainThread.h	ms_KeyPair	<decl-only>	0x140973108 char_ptr_array[3] [0x1408369E8:"MOBCODE", 0x1408369F0:"LTTM", 0x1408369F8:"LIVE"]
WorldServer\Entities\CMainThread.h	ms_szClientVerCheck	<decl-only>	0x1414FFFC0 bytes[33] FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
WorldServer\Entities\CMainThread.h	ms_uiObjects	<decl-only>	0x141372ACC bytes[4] FF FF FF FF
WorldServer\Entities\CMapOperation.cpp	CMapOperation::ms_szSettlementMapName	<multiline-init>	0x14096D4D0 char_ptr_array[6] [0x14074A768:"NeutralBS1", 0x14074A778:"NeutralBS2", 0x14074A788:"NeutralCS1", 0x14074A798:"NeutralCS2", 0x14074A7A8:"NeutralAS1", 0x14074A7B8:"NeutralAS2"]
