target	action
ATL::_stdcallthunk	skip_non_rf
CEntity	patch_existing
DLGITEMTEMPLATE	skip_non_rf
DLGTEMPLATEEX	skip_non_rf
E1133113A46BC24BB251F24AE4F08A1B	skip_non_rf
IMAGE_AUX_SYMBOL_TOKEN_DEF	skip_non_rf
NMPGSCROLL	skip_non_rf
PROPPRG	skip_non_rf
SHCOLUMNINFO	skip_non_rf
_ANIMUS_DB_BASE::_LIST	create_missing
_ANI_OBJECT	already_ok
_AVATOR_DATA	already_ok
_AVATOR_DB_BASE	already_ok
_BSP_C_FACE	already_ok
_BSP_LEAF	already_ok
_BSP_MAT_GROUP	patch_existing
_BSP_READ_FACE	patch_existing
_BSP_READ_M_GROUP	patch_existing
_BUDDY_DB_BASE::_LIST	create_missing
_CHINA_MSG_HEADER	create_missing
_CHRID	already_ok
_CLID	already_ok
_CUTTING_DB_BASE	already_ok
_DB_LOAD_AUTOMINE_MACHINE	patch_existing
_DELPOST_DB_BASE	already_ok
_ENTITY_M_GROUP	already_ok
_EQUIP_DB_BASE::_EMBELLISH_LIST	create_missing
_FORCE_DB_BASE::_LIST	create_missing
_IMAGE_LINENUMBER	skip_non_rf
_IMAGE_RELOCATION	skip_non_rf
_IMAGE_SYMBOL	skip_non_rf
_INVEN_DB_BASE::_LIST	create_missing
_ITEMCOMBINE_DB_BASE	already_ok
_LEAF_ENTITIES_LIST_INFO	already_ok
_LINK_DB_BASE	already_ok
_LTD	skip_non_rf
_LTD_ARRAY_ITEM	skip_non_rf
_LTD_EXPEND	skip_non_rf
_LTD_ITEMINFO	skip_non_rf
_LTD_ITEMINFO::_iteminfo	skip_non_rf
_LTD_PARAM	skip_non_rf
_MAP_ENTITIES_LIST	already_ok
_MASTERY_PARAM	already_ok
_MINIDUMP_MODULE	skip_non_rf
_MINIDUMP_MODULE_CALLBACK	skip_non_rf
_MINIDUMP_THREAD_CALLBACK	skip_non_rf
_MINIDUMP_THREAD_EX_CALLBACK	skip_non_rf
_MONEY_SUPPLY_DATA	patch_existing
_NOT_ARRANGED_AVATOR_DB	patch_existing
_ONE_LAYER	already_ok
_PCBANG_PLAY_TIME	already_ok
_PERSONALAMINE_INVEN_DB_BASE	already_ok
_POSTSTORAGE_DB_BASE::__list	create_missing
_PVPPOINT_LIMIT_DB_BASE	already_ok
_PVP_ORDER_VIEW_DB_BASE	already_ok
_PVP_RANK_DATA	patch_existing
_QUEST_DB_BASE::_LIST	create_missing
_QUEST_DB_BASE::_NPC_QUEST_HISTORY	create_missing
_QUEST_DB_BASE::_START_NPC_QUEST_HISTORY	create_missing
_Quest_fld	already_ok
_R3MATERIAL	already_ok
_READ_MAP_ENTITIES_LIST	patch_existing
_REGED	already_ok
_REGED_AVATOR_DB	already_ok
_RETURNPOST_DB_BASE	already_ok
_RTC_ALLOCA_NODE	skip_non_rf
_SHChangeDWORDAsIDList	skip_non_rf
_SHChangeNotifyEntry	skip_non_rf
_SHChangeUpdateImageIDList	skip_non_rf
_SHITEMID	skip_non_rf
_STORAGE_LIST	patch_existing
_STORAGE_LIST::_db_con	create_missing
_STORAGE_LIST::_storage_con	create_missing
_STORAGE_POS_INDIV	already_ok
_SUPPLEMENT_DB_BASE	already_ok
_TIMELIMITINFO_DB_BASE	already_ok
_TOOL_COL_LEAF	patch_existing
_TRADE_DB_BASE::_LIST	create_missing
_TRUNK_DB_BASE	already_ok
_TRUNK_DB_BASE::_LIST	create_missing
_UNIT_DB_BASE::_LIST	create_missing
_WAIT_ENTER_ACCOUNT	already_ok
_a_trade_adjust_price_request_clzo	already_ok
_a_trade_adjust_price_result_zocl	already_ok
_a_trade_clear_item_request_clzo	already_ok
_a_trade_clear_item_result_zocl	already_ok
_a_trade_reg_item_request_clzo	already_ok
_a_trade_sell_inform_zocl	create_missing
_add_holyquest_actcum_inform_zocl	create_missing
_add_lend_item_result_zocl	already_ok
_adjust_amount_inform_zocl	create_missing
_alive_char_request_clzo	create_missing
_alive_char_result_zocl	already_ok
_alter_action_point_zocl	already_ok
_alter_cont_effect_time_zocl	already_ok
_alter_item_dur_zocl	create_missing
_alter_item_slot_request_clzo::__list	create_missing
_alter_money_inform_zocl	create_missing
_alter_pvp_cash_zocl	create_missing
_alter_ranking_inform_zocl	create_missing
_alter_unit_bullet_inform_zocl	create_missing
_alter_unit_hp_inform_zocl	create_missing
_animus_act_heal_inform_zocl	create_missing
_animus_create_zocl	create_missing
_animus_destroy_zocl	create_missing
_animus_download_result_zocl::_list	create_missing
_animus_exp_inform_zocl	create_missing
_animus_fixpositon_zocl	create_missing
_animus_lvup_inform_zocl	create_missing
_animus_move_zocl	create_missing
_animus_real_move_zocl	create_missing
_animus_recall_result_zocl	create_missing
_animus_return_result_zocl	create_missing
_animus_target_request_clzo	create_missing
_announ_message_receipt_udp	patch_existing
_apex_block_request_wrac	create_missing
_apex_send_ip	create_missing
_atrade_taxrate_result_zocl	already_ok
_attack_force_request_clzo	create_missing
_attack_force_result_zocl	already_ok
_attack_gen_request_clzo	create_missing
_attack_gen_result_zocl	already_ok
_attack_gen_result_zocl::_dam_list	create_missing
_attack_keeper_inform_zocl	create_missing
_attack_selfdestruction_result_zocl	already_ok
_attack_siege_request_clzo	create_missing
_attack_siege_result_zocl	already_ok
_attack_skill_request_clzo	create_missing
_attack_skill_result_zocl	already_ok
_attack_test_request_clzo	create_missing
_attack_test_result_zocl	create_missing
_attack_tower_inform_zocl	create_missing
_attack_trap_inform_zocl	create_missing
_attack_unit_request_clzo	create_missing
_attack_unit_result_zocl	already_ok
_back_tower_result_zocl	create_missing
_back_trap_request_clzo	create_missing
_base_download_result_zocl	already_ok
_base_download_result_zocl::_list_embellish	create_missing
_base_download_result_zocl::_list_equip	create_missing
_billing_alive_request_zobi	create_missing
_billing_expire_inform_zocl	create_missing
_billing_login_request_zobi	create_missing
_boss_sms_cancel_result_zocl	create_missing
_break_stop_result_zocl	create_missing
_breakdown_equip_item_zocl	create_missing
_buddy_add_answer_clzo	create_missing
_buddy_add_ask_zocl	create_missing
_buddy_add_request_clzo	create_missing
_buddy_add_result_zocl	create_missing
_buddy_del_result_clzo	create_missing
_buddy_in_reged_player_inform_zocl	create_missing
_buddy_pos_inform_zocl	create_missing
_buddy_renewal_zocl	create_missing
_buy_store_failure_zocl	already_ok
_buy_store_request_clzo	already_ok
_buy_store_request_clzo::_list	create_missing
_buy_store_success_zocl	already_ok
_buy_store_success_zocl::_list	create_missing
_cancel_raceboss_msg_request_ctzo	create_missing
_cancel_raceboss_msg_request_zowb	create_missing
_cancel_raceboss_msg_result_zoct	patch_existing
_cash_discount_event_inform_zocl	create_missing
_cash_event_inform_zocl::__lim_sale::__Item	create_missing
_cast_vote_request_clzo	create_missing
_cast_vote_result_zocl	create_missing
_change_billing_type_inform_zocl	create_missing
_change_class_other_zocl	create_missing
_change_type_request_bizo	create_missing
_character_db_load	already_ok
_character_disconnect_request_acwr	create_missing
_character_disconnect_result_wrac	already_ok
_chat_guild_request_clzo	create_missing
_chat_message_receipt_udp	patch_existing
_chat_steal_message_gm_zocl	already_ok
_check_is_block_ip_result_acwr	create_missing
_circle_zone_fix_position_zocl	create_missing
_class_skill_recall_teleport_request_clzo	create_missing
_class_skill_result_other_zocl	create_missing
_combine_ex_item_accept_request_clzo	already_ok
_combine_ex_item_request_clzo	already_ok
_combine_ex_item_request_clzo::_list	create_missing
_combine_ex_item_result_zocl	already_ok
_combine_ex_item_result_zocl::_Result_ItemList_Buff	create_missing
_combine_item_request_clzo	already_ok
_combine_item_result_zocl	create_missing
_combine_item_result_zocl::__item	create_missing
_combine_lend_item_result_zocl	already_ok
_combine_lend_item_result_zocl::_lend_item	create_missing
_complete_vote_inform_zocl	create_missing
_confirm_sms_infom_zoct	create_missing
_continue_tower_inform	create_missing
_count_succ_inform_zocl	create_missing
_create_circle_zone_stone_zocl	create_missing
_create_gravity_stone_zocl	create_missing
_cum_download_result_zocl	already_ok
_current_billing_type_inform_zocl	create_missing
_cutting_complete_result_zocl	create_missing
_d_trade_accomplish_inform_zocl	create_missing
_d_trade_add_inform_zocl	create_missing
_d_trade_add_request_clzo	create_missing
_d_trade_bet_inform_zocl	create_missing
_d_trade_bet_request_clzo	create_missing
_d_trade_start_inform_zocl	create_missing
_d_trade_unit_add_inform_zocl	create_missing
_d_trade_unit_info_inform_zocl	create_missing
_darkhole_answer_reenter_request_clzo	create_missing
_darkhole_ask_reenter_inform_zocl	already_ok
_darkhole_clear_out_result_zocl	already_ok
_darkhole_destroy_zocl	already_ok
_darkhole_enter_request_clzo	create_missing
_darkhole_enter_result_zocl	already_ok
_darkhole_giveup_out_result_zocl	already_ok
_darkhole_job_count_inform_zocl	already_ok
_darkhole_member_info_inform_zocl	already_ok
_darkhole_member_info_inform_zocl::__list	create_missing
_darkhole_mission_info_inform_zocl	already_ok
_darkhole_mission_info_inform_zocl::__job	create_missing
_darkhole_new_member_inform_zocl	already_ok
_darkhole_new_mission_inform_zocl	already_ok
_darkhole_open_result_zocl	already_ok
_darkhole_outof_member_inform_zocl	already_ok
_darkhole_quest_info_inform_zocl	already_ok
_darkhole_real_add_time_inform_zocl	already_ok
_darkhole_reward_message_inform_zocl	create_missing
_darkhole_state_change_zocl	already_ok
_decide_recall_error_result_zocl	create_missing
_decide_recall_request_clzo	create_missing
_delete_storage_inform_zocl	create_missing
_destroy_gravity_stone_zocl	create_missing
_economy_data_inform_zowb	create_missing
_economy_rate_inform_zocl	create_missing
_editstream	create_missing
_effect_add_inform_zocl	create_missing
_effect_remove_inform_zocl	create_missing
_effect_start_inform_zocl	create_missing
_encorrecttext	create_missing
_enlink	create_missing
_enoleopfailed	create_missing
_enprotected	create_missing
_enter_world_request_wrac	already_ok
_enter_world_request_zone	already_ok
_exchange_money_result_zocl	create_missing
_extraBytes_101	create_missing
_extraBytes_102	create_missing
_extraBytes_123	create_missing
_extraBytes_13	create_missing
_extraBytes_14	create_missing
_extraBytes_143	create_missing
_extraBytes_147	create_missing
_extraBytes_148	create_missing
_extraBytes_15	create_missing
_extraBytes_150	create_missing
_extraBytes_16	create_missing
_extraBytes_17	create_missing
_extraBytes_177	create_missing
_extraBytes_18	create_missing
_extraBytes_185	create_missing
_extraBytes_19	create_missing
_extraBytes_20	create_missing
_extraBytes_21	create_missing
_extraBytes_22	create_missing
_extraBytes_23	create_missing
_extraBytes_24	create_missing
_extraBytes_25	create_missing
_extraBytes_26	create_missing
_extraBytes_27	create_missing
_extraBytes_28	create_missing
_extraBytes_29	create_missing
_extraBytes_30	create_missing
_extraBytes_31	create_missing
_extraBytes_32	create_missing
_extraBytes_34	create_missing
_extraBytes_35	create_missing
_extraBytes_353	create_missing
_extraBytes_36	create_missing
_extraBytes_363	create_missing
_extraBytes_386	create_missing
_extraBytes_39	create_missing
_extraBytes_41	create_missing
_extraBytes_42	create_missing
_extraBytes_428	create_missing
_extraBytes_434	create_missing
_extraBytes_44	create_missing
_extraBytes_45	create_missing
_extraBytes_46	create_missing
_extraBytes_47	create_missing
_extraBytes_49	create_missing
_extraBytes_50	create_missing
_extraBytes_51	create_missing
_extraBytes_519	create_missing
_extraBytes_53	create_missing
_extraBytes_538	create_missing
_extraBytes_55	create_missing
_extraBytes_57	create_missing
_extraBytes_58	create_missing
_extraBytes_61	create_missing
_extraBytes_62	create_missing
_extraBytes_63	create_missing
_extraBytes_66	create_missing
_extraBytes_75	create_missing
_extraBytes_81	create_missing
_extraBytes_87	create_missing
_extraBytes_89	create_missing
_extraBytes_92	create_missing
_extraBytes_95	create_missing
_fcitem_inform_zocl	create_missing
_fireguard_block_request_wrac	create_missing
_fireguard_divide_block_request_wrac	create_missing
_force_download_result_zocl::_list	create_missing
_force_recall_teleport_request_clzo	create_missing
_force_result_one_zocl	create_missing
_gesture_inform_zocl	create_missing
_gettextex	create_missing
_gm_msg_gmcall_list_response_zocl	already_ok
_gm_msg_gmcall_list_response_zocl::_call_node	create_missing
_goto_avator_result_zocl	create_missing
_gravity_stone_fix_position_zocl	create_missing
_gravity_stone_regener_fix_position_zocl	create_missing
_gravity_stone_regener_inform_zocl	create_missing
_guild_add_join_applier_inform_zocl	create_missing
_guild_alter_member_grade_inform_zocl::__list	create_missing
_guild_alter_member_state_inform_zocl::__list	create_missing
_guild_atrade_tax_zocl	create_missing
_guild_battle_complete_msg_zowb	create_missing
_guild_battle_current_battle_info_result_zocl	already_ok
_guild_battle_fin_pvppoint_result_zocl	create_missing
_guild_battle_get_gravity_stone_request_clzo	create_missing
_guild_battle_get_gravity_stone_result_zocl	already_ok
_guild_battle_goal_result_zocl	already_ok
_guild_battle_notify_ball_position_zocl	create_missing
_guild_battle_notify_committee_member_position_zocl	create_missing
_guild_battle_notify_gravity_stone_owner_die_zocl	create_missing
_guild_battle_pvp_inform_zocl	create_missing
_guild_battle_rank_list_request_clzo	create_missing
_guild_battle_rank_list_result_no_data_zocl	create_missing
_guild_battle_rank_list_result_zocl	already_ok
_guild_battle_rank_list_result_zocl::__list	create_missing
_guild_battle_reserve_msg_zowb	create_missing
_guild_battle_reserved_schedule_request_clzo	create_missing
_guild_battle_reserved_schedule_result_zocl	already_ok
_guild_battle_restart_zocl	create_missing
_guild_battle_start_zocl	create_missing
_guild_del_join_applier_inform_zocl	create_missing
_guild_honor_list_result_zocl::__list	create_missing
_guild_honorguild_mark_zocl	create_missing
_guild_info_update_inform_zocl	create_missing
_guild_io_money_inform_zocl	create_missing
_guild_join_accept_fail_zocl	create_missing
_guild_join_accept_inform_zocl	create_missing
_guild_join_accept_request_clzo	create_missing
_guild_join_apply_result_zocl	create_missing
_guild_join_other_inform_zocl	create_missing
_guild_leave_inform_zocl	create_missing
_guild_manage_request_clzo	already_ok
_guild_member_download_zocl	already_ok
_guild_member_login_inform_zocl	create_missing
_guild_member_pos_inform_zocl	create_missing
_guild_offer_suggest_request_clzo	create_missing
_guild_push_money_result_zocl	create_missing
_guild_query_info_result_zocl	already_ok
_guild_vote_complete_zocl	create_missing
_guild_vote_process_inform_zocl	already_ok
_guild_vote_request_clzo	create_missing
_guild_vote_result_zocl	create_missing
_guildroom_enter_result_zocl	create_missing
_guildroom_rent_request_clzo	already_ok
_holy_complete_quest_inform_zowb	create_missing
_holy_keeper_attackable_inform_zocl	already_ok
_holy_keeper_change_chaos_inform	create_missing
_holy_minetime_extend_inform_zowb	create_missing
_holystone_alter_oper_circle_inform_zocl	create_missing
_insert_item_inform_zocl	create_missing
_insert_quest_failure_zocl	create_missing
_insert_quest_item_inform_zocl	create_missing
_insert_trc_info	already_ok
