"ClassName","Method","LocalLines","IdaLines","Ratio","LocalFile","LocalLine","IdaFile"
"CGuild","CGuild","4","95","0.04","D:\repo\WorldServer\Entities\CGuild.cpp","34","D:\repo\WorldServerIdaPro\functions\CGuild__CGuild_1.c"
"CMainThread","pc_TaiwanBillingUserCertify","1","25","0.04","D:\repo\WorldServer\Entities\CMainThread.cpp","4715","D:\repo\WorldServerIdaPro\functions\CMainThread__pc_TaiwanBillingUserCertify_1.c"
"CMgrGuildHistory","CMgrGuildHistory","2","45","0.04","D:\repo\WorldServer\Entities\CMgrGuildHistory.cpp","29","D:\repo\WorldServerIdaPro\functions\CMgrGuildHistory__CMgrGuildHistory_1.c"
"CPlayer","CPlayer","2","51","0.04","D:\repo\WorldServer\Entities\CPlayer.cpp","611","D:\repo\WorldServerIdaPro\functions\CPlayer__CPlayer_1.c"
"CRFWorldDatabase","Update_GuildRank","6","150","0.04","D:\repo\WorldServer\Entities\CRFWorldDatabase_Ranking.cpp","2071","D:\repo\WorldServerIdaPro\functions\CRFWorldDatabase__Update_GuildRank_1.c"
"CRFWorldDatabase","Update_RaceRank","18","468","0.04","D:\repo\WorldServer\Entities\CRFWorldDatabase_Ranking.cpp","2377","D:\repo\WorldServerIdaPro\functions\CRFWorldDatabase__Update_RaceRank_1.c"
"CashItemRemoteStore","CashItemRemoteStore","2","29","0.07","D:\repo\WorldServer\Entities\CashItemRemoteStore.cpp","44","D:\repo\WorldServerIdaPro\functions\CashItemRemoteStore__CashItemRemoteStore_1.c"
"CGuildRanking","ClearGuildGrade","2","25","0.08","D:\repo\WorldServer\Entities\CGuildRanking.cpp","452","D:\repo\WorldServerIdaPro\functions\CGuildRanking__ClearGuildGrade_1.c"
"CMoveMapLimitInfoList","Load","3","38","0.08","D:\repo\WorldServer\Entities\CMoveMapLimitInfoList.cpp","103","D:\repo\WorldServerIdaPro\functions\CMoveMapLimitInfoList__Load_1.c"
"CMoveMapLimitInfoList","LogIn","3","38","0.08","D:\repo\WorldServer\Entities\CMoveMapLimitInfoList.cpp","111","D:\repo\WorldServerIdaPro\functions\CMoveMapLimitInfoList__LogIn_1.c"
"CMoveMapLimitInfoList","LogOut","3","38","0.08","D:\repo\WorldServer\Entities\CMoveMapLimitInfoList.cpp","119","D:\repo\WorldServerIdaPro\functions\CMoveMapLimitInfoList__LogOut_1.c"
"CIniFile","Clear","4","44","0.09","D:\repo\WorldServer\Entities\CIniFile.cpp","40","D:\repo\WorldServerIdaPro\functions\CIniFile__Clear_1.c"
"CIniFile","Merge_SumOfSets","6","67","0.09","D:\repo\WorldServer\Entities\CIniFile.cpp","350","D:\repo\WorldServerIdaPro\functions\CIniFile__Merge_SumOfSets_1.c"
"CIniFile","Save","3","35","0.09","D:\repo\WorldServer\Entities\CIniFile.cpp","83","D:\repo\WorldServerIdaPro\functions\CIniFile__Save_1.c"
"CMapDisplay","CMapDisplay","4","45","0.09","D:\repo\WorldServer\Entities\CMapDisplay.cpp","18","D:\repo\WorldServerIdaPro\functions\CMapDisplay__CMapDisplay_1.c"
"CMoveMapLimitInfoList","Loop","3","35","0.09","D:\repo\WorldServer\Entities\CMoveMapLimitInfoList.cpp","83","D:\repo\WorldServerIdaPro\functions\CMoveMapLimitInfoList__Loop_1.c"
"CMoveMapLimitRightInfo","CreateComplete","3","35","0.09","D:\repo\WorldServer\Entities\CMoveMapLimitRightInfo.cpp","79","D:\repo\WorldServerIdaPro\functions\CMoveMapLimitRightInfo__CreateComplete_1.c"
"CMoveMapLimitRightInfo","Load","3","35","0.09","D:\repo\WorldServer\Entities\CMoveMapLimitRightInfo.cpp","55","D:\repo\WorldServerIdaPro\functions\CMoveMapLimitRightInfo__Load_1.c"
"CMoveMapLimitRightInfo","LogIn","3","35","0.09","D:\repo\WorldServer\Entities\CMoveMapLimitRightInfo.cpp","63","D:\repo\WorldServerIdaPro\functions\CMoveMapLimitRightInfo__LogIn_1.c"
"CMoveMapLimitRightInfo","LogOut","3","35","0.09","D:\repo\WorldServer\Entities\CMoveMapLimitRightInfo.cpp","71","D:\repo\WorldServerIdaPro\functions\CMoveMapLimitRightInfo__LogOut_1.c"
"CIniFile","Merge_Intersection","7","69","0.1","D:\repo\WorldServer\Entities\CIniFile.cpp","365","D:\repo\WorldServerIdaPro\functions\CIniFile__Merge_Intersection_1.c"
"CUnmannedTraderDivisionInfo","CUnmannedTraderDivisionInfo","2","20","0.1","D:\repo\WorldServer\Entities\CUnmannedTraderDivisionInfo.cpp","11","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderDivisionInfo__CUnmannedTraderDivisionInfo_1.c"
"CMoveMapLimitInfoList","Get","5","45","0.11","D:\repo\WorldServer\Entities\CMoveMapLimitInfoList.cpp","91","D:\repo\WorldServerIdaPro\functions\CMoveMapLimitInfoList__Get_1.c"
"CPlayer","SF_DamageAndStun","3","27","0.11","D:\repo\WorldServer\Entities\CPlayer.cpp","6600","D:\repo\WorldServerIdaPro\functions\CPlayer__SF_DamageAndStun_1.c"
"CUnmannedTraderUserInfo","ClearLoadItemInfo","3","28","0.11","D:\repo\WorldServer\Entities\CUnmannedTraderUserInfo.cpp","213","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderUserInfo__ClearLoadItemInfo_1.c"
"CIniFile","GetSection","5","41","0.12","D:\repo\WorldServer\Entities\CIniFile.cpp","234","D:\repo\WorldServerIdaPro\functions\CIniFile__GetSection_3.c"
"CUnmannedTraderUserInfoTable","Find","6","50","0.12","D:\repo\WorldServer\Entities\CUnmannedTraderUserInfoTable.cpp","164","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderUserInfoTable__Find_1.c"
"INI_Section","GetKey","5","41","0.12","D:\repo\WorldServer\Entities\CIniFile.cpp","395","D:\repo\WorldServerIdaPro\functions\INI_Section__GetKey_1.c"
"CAsyncLogger","Loop","6","42","0.14","D:\repo\WorldServer\Entities\CAsyncLogger.cpp","213","D:\repo\WorldServerIdaPro\functions\CAsyncLogger__Loop_1.c"
"CNuclearBomb","CNuclearBomb","3","22","0.14","D:\repo\WorldServer\Entities\CNuclearBomb.cpp","31","D:\repo\WorldServerIdaPro\functions\CNuclearBomb__CNuclearBomb_1.c"
"CPvpUserRankingTargetUserList","ClearRankingStart","5","37","0.14","D:\repo\WorldServer\Entities\CUserRankingProcess.cpp","554","D:\repo\WorldServerIdaPro\functions\CPvpUserRankingTargetUserList__ClearRankingStart_1.c"
"CNationSettingData","CNationSettingData","4","26","0.15","D:\repo\WorldServer\Entities\CNationSettingData.cpp","15","D:\repo\WorldServerIdaPro\functions\CNationSettingData__CNationSettingData_1.c"
"CNationSettingFactory","IsExistCheat","8","54","0.15","D:\repo\WorldServer\Entities\CNationSettingFactory.cpp","649","D:\repo\WorldServerIdaPro\functions\CNationSettingFactory__IsExistCheat_1.c"
"CUnmannedTraderScheduler","FindItem","7","47","0.15","D:\repo\WorldServer\Entities\CUnmannedTraderScheduler.cpp","159","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderScheduler__FindItem_1.c"
"CUnmannedTraderUserInfo","Find","5","33","0.15","D:\repo\WorldServer\Entities\CUnmannedTraderUserInfo.cpp","1224","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderUserInfo__Find_1.c"
"CCryptParam","CheckPublicKeyHash","6","37","0.16","D:\repo\WorldServer\Entities\CCryptParam.cpp","100","D:\repo\WorldServerIdaPro\functions\CCryptParam__CheckPublicKeyHash_1.c"
"CIniFile","DeleteSection","15","96","0.16","D:\repo\WorldServer\Entities\CIniFile.cpp","322","D:\repo\WorldServerIdaPro\functions\CIniFile__DeleteSection_3.c"
"CIniFile","SaveSection","7","43","0.16","D:\repo\WorldServer\Entities\CIniFile.cpp","271","D:\repo\WorldServerIdaPro\functions\CIniFile__SaveSection_1.c"
"CMapItemStoreList","CreateStores","7","45","0.16","D:\repo\WorldServer\Entities\CMapItemStoreList.cpp","74","D:\repo\WorldServerIdaPro\functions\CMapItemStoreList__CreateStores_1.c"
"CMoveMapLimitRightInfo","Regist","8","51","0.16","D:\repo\WorldServer\Entities\CMoveMapLimitRightInfo.cpp","38","D:\repo\WorldServerIdaPro\functions\CMoveMapLimitRightInfo__Regist_1.c"
"CUnmannedTraderUserInfo","FindEmpty","5","32","0.16","D:\repo\WorldServer\Entities\CUnmannedTraderUserInfo.cpp","1251","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderUserInfo__FindEmpty_1.c"
"CDisplay","ColorKeyBlt","4","23","0.17","D:\repo\WorldServer\Entities\CDisplay.cpp","471","D:\repo\WorldServerIdaPro\functions\CDisplay__ColorKeyBlt_1.c"
"CLogTypeDBTaskPool","Destroy","6","36","0.17","D:\repo\WorldServer\Entities\CLogTypeDBTaskManager.cpp","223","D:\repo\WorldServerIdaPro\functions\CLogTypeDBTaskPool__Destroy_1.c"
"CUnmannedTraderGroupVersionInfo","Init","10","60","0.17","D:\repo\WorldServer\Entities\CUnmannedTraderGroupVersionInfo.cpp","14","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderGroupVersionInfo__Init_1.c"
"CUnmannedTraderScheduler","DoDayChangedWork","5","29","0.17","D:\repo\WorldServer\Entities\CUnmannedTraderScheduler.cpp","124","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderScheduler__DoDayChangedWork_1.c"
"AutominePersonalMgr","instance","4","22","0.18","D:\repo\WorldServer\Entities\CPlayer_LevelLoop.cpp","1555","D:\repo\WorldServerIdaPro\functions\AutominePersonalMgr__instance_1.c"
"CAsyncLogger","Instance","4","22","0.18","D:\repo\WorldServer\Entities\CAsyncLogger.cpp","41","D:\repo\WorldServerIdaPro\functions\CAsyncLogger__Instance_1.c"
"CChatStealSystem","Instance","4","22","0.18","D:\repo\WorldServer\Entities\CChatStealSystem.cpp","38","D:\repo\WorldServerIdaPro\functions\CChatStealSystem__Instance_1.c"
"CChiNetworkEX","Instance","4","22","0.18","D:\repo\WorldServer\Entities\CChiNetworkEX.cpp","23","D:\repo\WorldServerIdaPro\functions\CChiNetworkEX__Instance_1.c"
"CExchangeEvent","Instance","4","22","0.18","D:\repo\WorldServer\Entities\CMainThread.cpp","1681","D:\repo\WorldServerIdaPro\functions\CExchangeEvent__Instance_1.c"
"CGuildRanking","ClearGuildSerial","5","28","0.18","D:\repo\WorldServer\Entities\CGuildRanking.cpp","443","D:\repo\WorldServerIdaPro\functions\CGuildRanking__ClearGuildSerial_1.c"
"CItemStoreManager","SetNextEnforceInitTime","5","28","0.18","D:\repo\WorldServer\Entities\CItemStoreManager.cpp","192","D:\repo\WorldServerIdaPro\functions\CItemStoreManager__SetNextEnforceInitTime_1.c"
"ClassOrderProcessor","Instance","4","22","0.18","D:\repo\WorldServer\Entities\ClassOrderProcessor.cpp","85","D:\repo\WorldServerIdaPro\functions\ClassOrderProcessor__Instance_1.c"
"CLogTypeDBTaskManager","Instance","4","22","0.18","D:\repo\WorldServer\Entities\CMainThread.cpp","1623","D:\repo\WorldServerIdaPro\functions\CLogTypeDBTaskManager__Instance_1.c"
"CLuaEventMgr","Instance","4","22","0.18","D:\repo\WorldServer\Entities\CLuaEventMgr.cpp","20","D:\repo\WorldServerIdaPro\functions\CLuaEventMgr__Instance_1.c"
"CLuaLootingMgr","Instance","4","22","0.18","D:\repo\WorldServer\Entities\CLuaLootingMgr.cpp","48","D:\repo\WorldServerIdaPro\functions\CLuaLootingMgr__Instance_1.c"
"CLuaScriptMgr","Instance","4","22","0.18","D:\repo\WorldServer\Entities\CMainThread.cpp","1707","D:\repo\WorldServerIdaPro\functions\CLuaScriptMgr__Instance_1.c"
"CMoneySupplyMgr","Instance","4","22","0.18","D:\repo\WorldServer\Entities\CMoneySupplyMgr.cpp","25","D:\repo\WorldServerIdaPro\functions\CMoneySupplyMgr__Instance_1.c"
"CNuclearBombMgr","Instance","4","22","0.18","D:\repo\WorldServer\Entities\CNuclearBombMgr.cpp","36","D:\repo\WorldServerIdaPro\functions\CNuclearBombMgr__Instance_1.c"
"COreAmountMgr","Instance","4","22","0.18","D:\repo\WorldServer\Entities\COreAmountMgr.cpp","16","D:\repo\WorldServerIdaPro\functions\COreAmountMgr__Instance_1.c"
"CPcBangFavor","Instance","4","22","0.18","D:\repo\WorldServer\Entities\CPcBangFavor.cpp","22","D:\repo\WorldServerIdaPro\functions\CPcBangFavor__Instance_1.c"
"CPostSystemManager","SetNextWriteTime","5","28","0.18","D:\repo\WorldServer\Entities\CPostSystemManager.cpp","101","D:\repo\WorldServerIdaPro\functions\CPostSystemManager__SetNextWriteTime_1.c"
"CPvpCashMng","Instance","4","22","0.18","D:\repo\WorldServer\Entities\CPvpCashMng.cpp","49","D:\repo\WorldServerIdaPro\functions\CPvpCashMng__Instance_1.c"
"CRaceBossMsgController","Instance","4","22","0.18","D:\repo\WorldServer\Entities\CRaceBossMsgController.cpp","23","D:\repo\WorldServerIdaPro\functions\CRaceBossMsgController__Instance_1.c"
"CRaceBuffInfoByHolyQuest","Create","6","34","0.18","D:\repo\WorldServer\Entities\CRaceBuffInfoByHolyQuest.cpp","24","D:\repo\WorldServerIdaPro\functions\CRaceBuffInfoByHolyQuest__Create_1.c"
"CRecallEffectController","Instance","4","22","0.18","D:\repo\WorldServer\Entities\CRecallEffectController.cpp","83","D:\repo\WorldServerIdaPro\functions\CRecallEffectController__Instance_1.c"
"CReturnGateController","Instance","4","22","0.18","D:\repo\WorldServer\Entities\CReturnGateController.cpp","64","D:\repo\WorldServerIdaPro\functions\CReturnGateController__Instance_1.c"
"CRFMonsterAIMgr","Instance","4","22","0.18","D:\repo\WorldServer\Entities\CRFMonsterAIMgr.cpp","23","D:\repo\WorldServerIdaPro\functions\CRFMonsterAIMgr__Instance_1.c"
"CRtc","GetIntance","4","22","0.18","D:\repo\WorldServer\Entities\CRtc.cpp","31","D:\repo\WorldServerIdaPro\functions\CRtc__GetIntance_1.c"
"cStaticMember_Player","Instance","4","22","0.18","D:\repo\WorldServer\Entities\cStaticMember_Player.cpp","28","D:\repo\WorldServerIdaPro\functions\cStaticMember_Player__Instance_1.c"
"CSUItemSystem","Instance","4","22","0.18","D:\repo\WorldServer\Entities\CSUItemSystem.cpp","10","D:\repo\WorldServerIdaPro\functions\CSUItemSystem__Instance_1.c"
"CTalkCrystalCombineManager","Instance","4","22","0.18","D:\repo\WorldServer\Entities\CTalkCrystalCombineManager.cpp","144","D:\repo\WorldServerIdaPro\functions\CTalkCrystalCombineManager__Instance_1.c"
"CUnmannedTraderClassInfoFactory","CUnmannedTraderClassInfoFactory","6","33","0.18","D:\repo\WorldServer\Entities\CUnmannedTraderClassInfoFactory.cpp","7","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderClassInfoFactory__CUnmannedTraderClassInfoFactory_1.c"
"CUnmannedTraderDivisionInfo","GetSortType","7","39","0.18","D:\repo\WorldServer\Entities\CUnmannedTraderDivisionInfo.cpp","284","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderDivisionInfo__GetSortType_1.c"
"CUnmannedTraderScheduler","Instance","4","22","0.18","D:\repo\WorldServer\Entities\CUnmannedTraderScheduler.cpp","28","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderScheduler__Instance_1.c"
"CUnmannedTraderUserInfoTable","Instance","4","22","0.18","D:\repo\WorldServer\Entities\CUnmannedTraderUserInfoTable.cpp","31","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderUserInfoTable__Instance_1.c"
"PatriarchElectProcessor","Instance","4","22","0.18","D:\repo\WorldServer\Entities\PatriarchElectProcessor.cpp","40","D:\repo\WorldServerIdaPro\functions\PatriarchElectProcessor__Instance_1.c"
"TimeItem","Instance","4","22","0.18","D:\repo\WorldServer\Entities\TimeItem.cpp","15","D:\repo\WorldServerIdaPro\functions\TimeItem__Instance_1.c"
"TimeLimitMgr","Instance","4","22","0.18","D:\repo\WorldServer\Entities\CMainThread.cpp","880","D:\repo\WorldServerIdaPro\functions\TimeLimitMgr__Instance_1.c"
"CCryptParam","Load","9","47","0.19","D:\repo\WorldServer\Entities\CCryptParam.cpp","111","D:\repo\WorldServerIdaPro\functions\CCryptParam__Load_1.c"
"CCryptParam","LoadKey","11","57","0.19","D:\repo\WorldServer\Entities\CCryptParam.cpp","83","D:\repo\WorldServerIdaPro\functions\CCryptParam__LoadKey_1.c"
"CHolyStoneSystem","CHolyStoneSystem","7","37","0.19","D:\repo\WorldServer\Entities\CHolyStoneSystem.cpp","82","D:\repo\WorldServerIdaPro\functions\CHolyStoneSystem__CHolyStoneSystem_1.c"
"CRaceBuffInfoByHolyQuestList","Apply","4","21","0.19","D:\repo\WorldServer\Entities\CRaceBuffInfoByHolyQuestList.cpp","71","D:\repo\WorldServerIdaPro\functions\CRaceBuffInfoByHolyQuestList__Apply_1.c"
"CRaceBuffInfoByHolyQuestList","CreateComplete","4","21","0.19","D:\repo\WorldServer\Entities\CRaceBuffInfoByHolyQuestList.cpp","89","D:\repo\WorldServerIdaPro\functions\CRaceBuffInfoByHolyQuestList__CreateComplete_1.c"
"CRaceBuffInfoByHolyQuestList","Release","4","21","0.19","D:\repo\WorldServer\Entities\CRaceBuffInfoByHolyQuestList.cpp","80","D:\repo\WorldServerIdaPro\functions\CRaceBuffInfoByHolyQuestList__Release_1.c"
"CUnmannedTraderClassInfoFactory","Destroy","7","36","0.19","D:\repo\WorldServer\Entities\CUnmannedTraderClassInfoFactory.cpp","77","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderClassInfoFactory__Destroy_1.c"
"CUnmannedTraderSubClassFactory","CUnmannedTraderSubClassFactory","11","57","0.19","D:\repo\WorldServer\Entities\CUnmannedTraderSubClassFactory.cpp","9","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderSubClassFactory__CUnmannedTraderSubClassFactory_1.c"
"CUnmannedTraderSubClassFactory","Destroy","7","36","0.19","D:\repo\WorldServer\Entities\CUnmannedTraderSubClassFactory.cpp","85","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderSubClassFactory__Destroy_1.c"
"CUnmannedTraderUserInfo","CompleteRepriceItem","9","47","0.19","D:\repo\WorldServer\Entities\CUnmannedTraderUserInfo.cpp","2273","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderUserInfo__CompleteRepriceItem_1.c"
"CUnmannedTraderUserInfo","CompleteUpdateCheatRegistTime","7","37","0.19","D:\repo\WorldServer\Entities\CUnmannedTraderUserInfo.cpp","2497","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderUserInfo__CompleteUpdateCheatRegistTime_1.c"
"CUnmannedTraderUserInfo","FindRegist","8","43","0.19","D:\repo\WorldServer\Entities\CUnmannedTraderUserInfo.cpp","1236","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderUserInfo__FindRegist_1.c"
"CAnimus","RobbedHP","6","30","0.2","D:\repo\WorldServer\Entities\CAnimus.cpp","1691","D:\repo\WorldServerIdaPro\functions\CAnimus__RobbedHP_1.c"
"CGuardTower","RobbedHP","6","30","0.2","D:\repo\WorldServer\Entities\CGuardTower.cpp","597","D:\repo\WorldServerIdaPro\functions\CGuardTower__RobbedHP_1.c"
"CMonster","RobbedHP","6","30","0.2","D:\repo\WorldServer\Entities\CMonster.cpp","3135","D:\repo\WorldServerIdaPro\functions\CMonster__RobbedHP_1.c"
"CPlayer","RobbedHP","6","30","0.2","D:\repo\WorldServer\Entities\CPlayer.cpp","6069","D:\repo\WorldServerIdaPro\functions\CPlayer__RobbedHP_1.c"
"CRFWorldDatabase","UpdateGuildMoney","4","20","0.2","D:\repo\WorldServer\Entities\CRFWorldDatabase_Ranking.cpp","1508","D:\repo\WorldServerIdaPro\functions\CRFWorldDatabase__UpdateGuildMoney_1.c"
"CUnmannedTraderClassInfoTableType","IsExistGroupID","9","46","0.2","D:\repo\WorldServer\Entities\CUnmannedTraderClassInfoTableType.cpp","197","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderClassInfoTableType__IsExistGroupID_1.c"
"Voter","Voter","4","20","0.2","D:\repo\WorldServer\Entities\Voter.cpp","14","D:\repo\WorldServerIdaPro\functions\Voter__Voter_1.c"
